# Raman tensor in 10^(-30) Cm^2/V
# mode: 87   phonon freq: 269.544951
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.40884+0.00000j 1.299e-02+0.000e+00j 0.000e+00+0.000e+00j 2.339e-01+6.496e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
0.41835+0.00000j 6.628e-03+0.000e+00j 0.000e+00+0.000e+00j 1.193e-01+3.314e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
0.42786+0.00000j 1.038e-04+0.000e+00j 0.000e+00+0.000e+00j 1.868e-03+5.188e-04j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.43736+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.44687+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.45638+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.46589+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.47540+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.48490+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.49441+0.00000j 6.453e-03+0.000e+00j 6.453e-03+0.000e+00j 1.484e-01+3.872e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
0.50392+0.00000j 1.298e-02+0.000e+00j 1.298e-02+0.000e+00j 2.985e-01+7.787e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
0.51343+0.00000j 1.328e-02+6.642e-03j 0.000e+00+6.642e-03j 1.594e-01+3.985e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
0.52294+0.00000j 2.360e-04+1.180e-04j 0.000e+00+1.180e-04j 2.832e-03+7.079e-04j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.53244+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.54195+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.55146+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.56097+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.57048+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.57998+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.58949+0.00000j 1.288e-02+0.000e+00j 0.000e+00+0.000e+00j 1.867e-01+5.151e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
0.59900+0.00000j 2.593e-02+0.000e+00j 0.000e+00+0.000e+00j 3.759e-01+1.037e-01j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.441e+01+0.000e+00j 2.819e+01+0.000e+00j
0.60851+0.00000j 1.331e-02+0.000e+00j 0.000e+00+0.000e+00j 1.997e-01+4.660e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
0.61802+0.00000j 2.644e-04+0.000e+00j 0.000e+00+0.000e+00j 3.966e-03+9.255e-04j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.62752+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.63703+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.64654+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.65605+0.00000j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.817e+01+0.000e+00j
0.66555+0.00000j 1.283e-02+0.000e+00j 6.414e-03+0.000e+00j 2.245e-01+5.131e-02j 0.000e+00+0.000e+00j 9.961e+00+0.000e+00j 0.000e+00+0.000e+00j 2.440e+01+0.000e+00j 2.818e+01+0.000e+00j
