# Raman tensor in 10^(-30) Cm^2/V
# mode: 8   phonon freq: 3111.638698
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.40885+0.00000j 4.967e+00+0.000e+00j 0.000e+00+0.000e+00j 9.717e+00-6.553e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.190e+01+0.000e+00j 3.013e+01+0.000e+00j
0.41836+0.00000j 4.974e+00+0.000e+00j 0.000e+00+0.000e+00j 8.610e+00-3.311e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.059e+01+0.000e+00j 2.765e+01+0.000e+00j
0.42787+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.487e+00-4.848e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.335e+00+0.000e+00j 2.519e+01+0.000e+00j
0.43737+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.44688+0.00000j 4.980e+00+0.000e+00j 0.000e+00+0.000e+00j 7.471e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.318e+00+0.000e+00j 2.515e+01+0.000e+00j
0.45639+0.00000j 6.210e+00+0.000e+00j 0.000e+00+0.000e+00j 8.701e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.098e+01+0.000e+00j 3.003e+01+0.000e+00j
0.46590+0.00000j 7.456e+00+0.000e+00j 0.000e+00+0.000e+00j 9.947e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.268e+01+0.000e+00j 3.498e+01+0.000e+00j
0.47541+0.00000j 6.232e+00+0.000e+00j 1.225e+00+0.000e+00j 8.594e+00-3.870e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.216e+00+0.000e+00j 3.118e+01+0.000e+00j
0.48492+0.00000j 4.980e+00+0.000e+00j 2.465e+00+0.000e+00j 7.210e+00-7.785e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.816e+00+0.000e+00j 2.759e+01+0.000e+00j
0.49442+0.00000j 4.967e+00+0.000e+00j 2.490e+00+0.000e+00j 7.169e+00-7.864e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.735e+00+0.000e+00j 2.751e+01+0.000e+00j
0.50393+0.00000j 4.967e+00+0.000e+00j 2.490e+00+0.000e+00j 7.169e+00-7.864e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 5.735e+00+0.000e+00j 2.751e+01+0.000e+00j
0.51344+0.00000j 6.197e+00-6.634e-03j 1.260e+00-6.634e-03j 8.541e+00-3.981e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.104e+00+0.000e+00j 3.104e+01+0.000e+00j
0.52295+0.00000j 7.450e+00-1.096e-04j 2.083e-02-1.096e-04j 9.937e+00-6.579e-04j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.264e+01+0.000e+00j 3.497e+01+0.000e+00j
